dtRef,idCliente,idade,recencia,penultimaAtivacao,descLifeCycle
2025-12-31,163022e8-12b8-486f-8604-57d8fa0ed7e1,316,1,2.0,fiel
2025-12-31,6d1fa358-39c4-4973-b6a7-83fa2ec2a62c,629,2,94.0,reborn
2025-12-31,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,626,13,14.0,turista
2025-12-31,000ff655-fa9f-4baa-a108-47f581ec52a1,668,97,98.0,zumbi
2026-01-23,1154be9a-7e97-4f63-adbe-897d65194fd0,1,1,NULL,curioso
2026-01-23,09aef4e8-6921-45d8-9baf-5002fca61e84,19,19,NULL,desencantado
2026-01-23,030496ce-9cb6-42a9-aa5a-5389dd4a2500,129,1,2.0,fiel
2026-01-23,14d5f91d-a339-4ed9-8211-6856d8ff5b06,177,2,177.0,reborn
2026-01-23,21f25d68-446f-43a9-ace4-9fecc68e3c32,34,1,18.0,reconquistado
2026-01-23,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,649,9,15.0,turista
2026-01-23,000dc0f6-e4f2-4a42-b8cd-b586ed1c709a,72,42,72.0,zumbi
