dtRef,idCliente,idade,recencia,penultimaAtivacao,descLifeCycle
2024-07-12,0368a5c3-bc5d-45f2-b8a0-07e74ea1574f,166,9,11.0,turista
2024-07-12,000ff655-fa9f-4baa-a108-47f581ec52a1,131,43,45.0,zumbi
2024-07-31,015fe52e-cc46-40c2-a496-2d228208bb2e,3,2,3.0,curioso
2024-07-31,001749bd-37b5-4b1e-8111-f9fbba90f530,21,21,NULL,desencantado
2024-07-31,00a6d4c8-38e5-4e92-981e-4e4ac5084546,108,2,3.0,fiel
2024-07-31,03d75a45-0b36-4fd7-a84e-7b36912f1998,185,3,140.0,reborn
2024-07-31,03a676ed-24fe-4f86-807e-3f804e57b82e,29,2,20.0,reconquistado
2024-07-31,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,108,13,104.0,turista
2024-07-31,000ff655-fa9f-4baa-a108-47f581ec52a1,150,62,64.0,zumbi
2024-08-09,1058f303-681a-4578-9566-f9170def8732,4,4,NULL,curioso
2024-08-09,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,117,22,113.0,desencantado
2024-08-09,00a6d4c8-38e5-4e92-981e-4e4ac5084546,117,1,2.0,fiel
2024-08-09,0df5f7e8-851c-4a82-a9d9-5987e6886e2d,141,2,30.0,reborn
2024-08-09,043c4972-df0d-4181-8b77-dd6c351fdebc,89,4,29.0,reconquistado
2024-08-09,015fe52e-cc46-40c2-a496-2d228208bb2e,12,11,12.0,turista
2024-08-09,000ff655-fa9f-4baa-a108-47f581ec52a1,159,71,73.0,zumbi
2024-08-31,0a6720ce-ca90-400a-8361-7f025c40727a,5,5,NULL,curioso
2024-08-31,043c4972-df0d-4181-8b77-dd6c351fdebc,111,20,26.0,desencantado
2024-08-31,00a6d4c8-38e5-4e92-981e-4e4ac5084546,139,2,3.0,fiel
2024-08-31,03a676ed-24fe-4f86-807e-3f804e57b82e,60,3,33.0,reborn
2024-08-31,16e77e87-d93f-4716-af91-9d5350989af2,68,5,23.0,reconquistado
2024-08-31,01f3a765-a092-4999-be4b-98fc5404653b,212,9,34.0,turista
2024-08-31,000ff655-fa9f-4baa-a108-47f581ec52a1,181,93,95.0,zumbi
2024-09-06,0fa905dd-368a-4151-b7b1-0ff65166e36a,1,1,NULL,curioso
2024-09-06,01f3a765-a092-4999-be4b-98fc5404653b,218,15,40.0,desencantado
2024-09-06,00a6d4c8-38e5-4e92-981e-4e4ac5084546,145,1,2.0,fiel
2024-09-06,01f2e6ea-4fc4-4eb3-94aa-3f36109a9787,194,5,60.0,reborn
2024-09-06,135d00c9-66a6-4f34-bc9a-4839bc92325b,187,2,19.0,reconquistado
2024-09-06,066c9fc6-f704-4165-a8f3-3d1968b0d4a3,198,8,18.0,turista
2024-09-06,000ff655-fa9f-4baa-a108-47f581ec52a1,187,99,101.0,zumbi
2024-09-30,058d457f-9ffd-4426-a0f0-7aa20065a0db,1,1,NULL,curioso
2024-09-30,0033b737-8235-4c0f-9801-dc4ca185af00,15,15,NULL,desencantado
2024-09-30,00a6d4c8-38e5-4e92-981e-4e4ac5084546,169,1,4.0,fiel
2024-09-30,000ff655-fa9f-4baa-a108-47f581ec52a1,211,4,123.0,reborn
2024-09-30,161bf8aa-33f9-42a3-b48f-97199c8370d1,239,6,25.0,reconquistado
2024-09-30,048940be-2b8a-4844-b576-0044ae29649e,12,12,NULL,turista
2024-09-30,001749bd-37b5-4b1e-8111-f9fbba90f530,82,82,NULL,zumbi
2024-10-04,058d457f-9ffd-4426-a0f0-7aa20065a0db,5,5,NULL,curioso
2024-10-04,0033b737-8235-4c0f-9801-dc4ca185af00,19,19,NULL,desencantado
2024-10-04,00a6d4c8-38e5-4e92-981e-4e4ac5084546,173,1,2.0,fiel
2024-10-04,0136afea-76c9-45c0-b9db-0212595418e5,145,1,145.0,reborn
2024-10-04,053c1321-f73d-4b7c-ab92-bda971ff18a6,197,4,25.0,reconquistado
2024-10-04,000ff655-fa9f-4baa-a108-47f581ec52a1,215,8,127.0,turista
2024-10-04,001749bd-37b5-4b1e-8111-f9fbba90f530,86,86,NULL,zumbi
2024-10-31,032a9f21-2dc3-4edd-a757-21d8ba63ce66,2,1,2.0,curioso
2024-10-31,0390e2ff-dbc3-4962-a1de-6fb45cae2a13,23,23,NULL,desencantado
2024-10-31,00a6d4c8-38e5-4e92-981e-4e4ac5084546,200,1,4.0,fiel
2024-10-31,12c97f0a-2f1b-4b41-95c6-34510f4f236c,238,3,163.0,reborn
2024-10-31,16f25c0e-f879-4453-b5d4-efebabc2881b,207,4,31.0,reconquistado
2024-10-31,015e35f3-70d3-43f3-895d-cdea386118d7,245,10,219.0,turista
2024-10-31,000ff655-fa9f-4baa-a108-47f581ec52a1,242,35,154.0,zumbi
2024-11-01,032a9f21-2dc3-4edd-a757-21d8ba63ce66,3,1,2.0,curioso
2024-11-01,034bc7eb-fe02-4931-8d3e-f3f93a138fdb,173,15,18.0,desencantado
2024-11-01,00a6d4c8-38e5-4e92-981e-4e4ac5084546,201,2,5.0,fiel
2024-11-01,2f6cfdf9-b522-4217-9b87-c271bad72884,261,1,236.0,reborn
2024-11-01,16f25c0e-f879-4453-b5d4-efebabc2881b,208,5,32.0,reconquistado
2024-11-01,015e35f3-70d3-43f3-895d-cdea386118d7,246,11,220.0,turista
2024-11-01,000ff655-fa9f-4baa-a108-47f581ec52a1,243,36,155.0,zumbi
2024-11-29,03f9edbb-7420-4f36-9a24-894de6aa5678,4,4,NULL,curioso
2024-11-29,04612efc-dc61-4434-90a1-afc1b43767c1,200,25,26.0,desencantado
2024-11-29,00a6d4c8-38e5-4e92-981e-4e4ac5084546,229,5,8.0,fiel
2024-11-29,014491f5-caa3-4122-be69-a31411ad4bd7,278,5,162.0,reborn
2024-11-29,02ebaed5-c07a-4bdd-bb7b-5334d5b25b39,124,2,26.0,reconquistado
2024-11-29,05f22241-6fc0-4d28-ac38-c01e6350b0c7,9,9,NULL,turista
2024-11-29,000ff655-fa9f-4baa-a108-47f581ec52a1,271,64,183.0,zumbi
2024-11-30,03f9edbb-7420-4f36-9a24-894de6aa5678,5,5,NULL,curioso
2024-11-30,04612efc-dc61-4434-90a1-afc1b43767c1,201,26,27.0,desencantado
2024-11-30,00a6d4c8-38e5-4e92-981e-4e4ac5084546,230,6,9.0,fiel
2024-11-30,014491f5-caa3-4122-be69-a31411ad4bd7,279,6,163.0,reborn
2024-11-30,02ebaed5-c07a-4bdd-bb7b-5334d5b25b39,125,3,27.0,reconquistado
2024-11-30,05f22241-6fc0-4d28-ac38-c01e6350b0c7,10,10,NULL,turista
2024-11-30,000ff655-fa9f-4baa-a108-47f581ec52a1,272,65,184.0,zumbi
2024-12-27,00a6d4c8-38e5-4e92-981e-4e4ac5084546,257,24,33.0,desencantado
2024-12-27,4fade907-6e0f-4581-a674-aad6622b1b10,333,2,5.0,fiel
2024-12-27,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,257,8,9.0,turista
2024-12-27,000ff655-fa9f-4baa-a108-47f581ec52a1,299,92,211.0,zumbi
2024-12-31,016cfd4a-8dd3-4d78-9a08-b6829775f86d,20,20,NULL,desencantado
2024-12-31,4fade907-6e0f-4581-a674-aad6622b1b10,337,6,9.0,fiel
2024-12-31,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,261,12,13.0,turista
2024-12-31,000ff655-fa9f-4baa-a108-47f581ec52a1,303,96,215.0,zumbi
2025-01-24,07c93c33-c0aa-412b-aea2-efab27efc8c0,5,2,5.0,curioso
2025-01-24,0122142b-464c-414a-9aad-e901f492a1a3,15,15,NULL,desencantado
2025-01-24,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,285,1,2.0,fiel
2025-01-24,086e2af0-4d6c-44f7-a838-e8c1f9b75972,256,1,99.0,reborn
2025-01-24,044e95f2-8756-42bd-a0a3-d50708beb8da,355,2,23.0,reconquistado
2025-01-24,03f108c1-e828-46d6-addd-87025871bfa4,138,10,11.0,turista
2025-01-24,000ff655-fa9f-4baa-a108-47f581ec52a1,327,120,239.0,zumbi
2025-01-31,022ee093-36c6-4519-9404-b145a086b40c,2,2,NULL,curioso
2025-01-31,0122142b-464c-414a-9aad-e901f492a1a3,22,22,NULL,desencantado
2025-01-31,0033b737-8235-4c0f-9801-dc4ca185af00,138,2,3.0,fiel
2025-01-31,04612efc-dc61-4434-90a1-afc1b43767c1,263,5,88.0,reborn
2025-01-31,0502e189-6816-4bea-8de9-72a2fbf9d4eb,23,3,23.0,reconquistado
2025-01-31,07c93c33-c0aa-412b-aea2-efab27efc8c0,12,9,12.0,turista
2025-01-31,000ff655-fa9f-4baa-a108-47f581ec52a1,334,127,246.0,zumbi
2025-02-21,01ccd9fc-a0d4-4bb3-8d70-005818be596c,3,3,NULL,curioso
2025-02-21,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,313,15,16.0,desencantado
2025-02-21,0033b737-8235-4c0f-9801-dc4ca185af00,159,3,4.0,fiel
2025-02-21,1614574e-7b0c-4a7c-90d9-ac53b7cf885f,379,4,379.0,reborn
2025-02-21,04612efc-dc61-4434-90a1-afc1b43767c1,284,1,26.0,reconquistado
2025-02-21,0122142b-464c-414a-9aad-e901f492a1a3,43,12,16.0,turista
2025-02-21,000ff655-fa9f-4baa-a108-47f581ec52a1,355,148,267.0,zumbi
2025-02-28,0ba1879e-862c-45ad-96be-4cffc02968f7,5,5,NULL,curioso
2025-02-28,0122142b-464c-414a-9aad-e901f492a1a3,50,19,23.0,desencantado
2025-02-28,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,320,3,4.0,fiel
2025-02-28,00a6d4c8-38e5-4e92-981e-4e4ac5084546,320,2,87.0,reborn
2025-02-28,0a64ebad-71c5-4552-a973-203900ecb78b,292,4,19.0,reconquistado
2025-02-28,0033b737-8235-4c0f-9801-dc4ca185af00,166,10,11.0,turista
2025-02-28,000ff655-fa9f-4baa-a108-47f581ec52a1,362,155,274.0,zumbi
2025-03-21,03309cb5-124c-4687-9fc6-fa7e76a84aea,4,2,3.0,curioso
2025-03-21,00a6d4c8-38e5-4e92-981e-4e4ac5084546,341,23,108.0,desencantado
2025-03-21,0033b737-8235-4c0f-9801-dc4ca185af00,187,1,2.0,fiel
2025-03-21,04a6cf69-48dd-48da-b799-f9c1d70570bb,114,1,39.0,reborn
2025-03-21,28e764cd-be56-4ad7-ae04-d4a3f14e1081,218,2,26.0,reconquistado
2025-03-21,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,341,10,11.0,turista
2025-03-21,000ff655-fa9f-4baa-a108-47f581ec52a1,383,176,295.0,zumbi
2025-03-31,268ed8e7-3c04-4865-8594-8d0254954a35,7,7,NULL,curioso
2025-03-31,02ebaed5-c07a-4bdd-bb7b-5334d5b25b39,246,18,36.0,desencantado
2025-03-31,0033b737-8235-4c0f-9801-dc4ca185af00,197,6,8.0,fiel
2025-03-31,0122142b-464c-414a-9aad-e901f492a1a3,81,7,50.0,reborn
2025-03-31,2bc5bbc0-5b38-4a3c-8b76-c68007b5880a,35,1,18.0,reconquistado
2025-03-31,03309cb5-124c-4687-9fc6-fa7e76a84aea,14,12,13.0,turista
2025-03-31,000ff655-fa9f-4baa-a108-47f581ec52a1,393,186,305.0,zumbi
2025-04-18,0ba1f43e-dee6-4440-8e1f-d90b68239aa9,5,5,NULL,curioso
2025-04-18,0033b737-8235-4c0f-9801-dc4ca185af00,215,24,26.0,desencantado
2025-04-18,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,369,1,2.0,fiel
2025-04-18,1b2fe4ad-e5e2-492c-805f-1f38f1111556,138,1,138.0,reborn
2025-04-18,1370597d-57dc-46ae-9d2f-ac6e4a285c81,442,2,18.0,reconquistado
2025-04-18,01ccd9fc-a0d4-4bb3-8d70-005818be596c,59,11,59.0,turista
2025-04-18,000ff655-fa9f-4baa-a108-47f581ec52a1,411,204,323.0,zumbi
2025-04-30,0ff70200-7eeb-43bb-943c-4fe95d424e57,1,1,NULL,curioso
2025-04-30,01ccd9fc-a0d4-4bb3-8d70-005818be596c,71,23,71.0,desencantado
2025-04-30,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,381,1,2.0,fiel
2025-04-30,10ddac6b-0b74-4e1d-a624-898ef75ed653,456,2,90.0,reborn
2025-04-30,06ba648a-4f7c-4855-8194-9a8f256e21e5,20,3,20.0,reconquistado
2025-04-30,03f9edbb-7420-4f36-9a24-894de6aa5678,156,14,27.0,turista
2025-04-30,000ff655-fa9f-4baa-a108-47f581ec52a1,423,216,335.0,zumbi
2025-05-16,5a80a68b-4a1e-44fa-a6cc-89b66c934eff,3,3,NULL,curioso
2025-05-16,06ba648a-4f7c-4855-8194-9a8f256e21e5,36,19,36.0,desencantado
2025-05-16,0033b737-8235-4c0f-9801-dc4ca185af00,243,2,3.0,fiel
2025-05-16,03f108c1-e828-46d6-addd-87025871bfa4,250,4,47.0,reborn
2025-05-16,433a5751-70f6-4329-be50-dccc1002c00d,85,5,25.0,reconquistado
2025-05-16,00a2aa20-fd00-4c09-bab0-caf674e5cd30,12,10,12.0,turista
2025-05-16,000ff655-fa9f-4baa-a108-47f581ec52a1,439,232,351.0,zumbi
2025-05-31,0c8ff71b-4e6a-4f95-8789-f4be4a0a2f40,2,2,NULL,curioso
2025-05-31,00a2aa20-fd00-4c09-bab0-caf674e5cd30,27,25,27.0,desencantado
2025-05-31,02bfd4d9-4dd6-44e5-88b8-2cc08caf3267,394,2,3.0,fiel
2025-05-31,04868bca-454e-4f72-aef5-df2f95fe1577,194,4,171.0,reborn
2025-05-31,433a5751-70f6-4329-be50-dccc1002c00d,100,4,20.0,reconquistado
2025-05-31,0033b737-8235-4c0f-9801-dc4ca185af00,258,9,17.0,turista
2025-05-31,000ff655-fa9f-4baa-a108-47f581ec52a1,454,247,366.0,zumbi
2025-06-13,017cc9ca-7856-4253-8fa8-13cb6cfadaa1,5,4,5.0,curioso
2025-06-13,0033b737-8235-4c0f-9801-dc4ca185af00,271,22,30.0,desencantado
2025-06-13,000ff655-fa9f-4baa-a108-47f581ec52a1,467,1,2.0,fiel
2025-06-13,038d7c90-b7c3-46d2-b7ea-3db6fc63d625,374,5,40.0,reborn
2025-06-13,330b87e7-7bef-4ff8-bfa8-a39e2bb8a3ba,382,4,25.0,reconquistado
2025-06-13,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,425,10,11.0,turista
2025-06-13,001749bd-37b5-4b1e-8111-f9fbba90f530,338,338,NULL,zumbi
2025-06-30,23d3b6ea-16d0-44ac-b750-22c75dcbe63a,6,6,NULL,curioso
2025-06-30,017cc9ca-7856-4253-8fa8-13cb6cfadaa1,22,21,22.0,desencantado
2025-06-30,000ff655-fa9f-4baa-a108-47f581ec52a1,484,1,4.0,fiel
2025-06-30,00a2aa20-fd00-4c09-bab0-caf674e5cd30,57,4,55.0,reborn
2025-06-30,2a9d4ba3-4c58-47f9-8dc4-6f9cb50be1b1,511,1,25.0,reconquistado
2025-06-30,00cde3c9-db42-494c-82c1-ee638a0b08fa,14,14,NULL,turista
2025-06-30,001749bd-37b5-4b1e-8111-f9fbba90f530,355,355,NULL,zumbi
2025-07-11,00ae41c3-9aba-49dd-9a07-c82e15b75e9a,5,5,NULL,curioso
2025-07-11,00a2aa20-fd00-4c09-bab0-caf674e5cd30,68,15,66.0,desencantado
2025-07-11,000ff655-fa9f-4baa-a108-47f581ec52a1,495,1,2.0,fiel
2025-07-11,0033b737-8235-4c0f-9801-dc4ca185af00,299,5,50.0,reborn
2025-07-11,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,453,2,24.0,reconquistado
2025-07-11,02ebaed5-c07a-4bdd-bb7b-5334d5b25b39,348,10,120.0,turista
2025-07-11,001749bd-37b5-4b1e-8111-f9fbba90f530,366,366,NULL,zumbi
2025-07-31,03010015-22ad-42f9-a57b-450477eafa3b,1,1,NULL,curioso
2025-07-31,0033b737-8235-4c0f-9801-dc4ca185af00,319,25,70.0,desencantado
2025-07-31,000ff655-fa9f-4baa-a108-47f581ec52a1,515,3,4.0,fiel
2025-07-31,81815466-d305-4de9-8675-388d00a5d1f0,116,3,112.0,reborn
2025-07-31,11f0bbec-a571-4d1a-8db2-9a7dfbc9155c,24,4,21.0,reconquistado
2025-07-31,0122142b-464c-414a-9aad-e901f492a1a3,203,14,129.0,turista
2025-07-31,001749bd-37b5-4b1e-8111-f9fbba90f530,386,386,NULL,zumbi
2025-08-08,1f72983d-0e7d-452f-b46f-21c942c654c2,4,4,NULL,curioso
2025-08-08,0122142b-464c-414a-9aad-e901f492a1a3,211,22,137.0,desencantado
2025-08-08,000ff655-fa9f-4baa-a108-47f581ec52a1,523,3,4.0,fiel
2025-08-08,0033b737-8235-4c0f-9801-dc4ca185af00,327,5,33.0,reborn
2025-08-08,0fc3524f-c21c-494d-bced-66766a2f239a,533,3,29.0,reconquistado
2025-08-08,03010015-22ad-42f9-a57b-450477eafa3b,9,9,NULL,turista
2025-08-08,001749bd-37b5-4b1e-8111-f9fbba90f530,394,394,NULL,zumbi
2025-08-31,00d8af70-17fb-422e-8675-37c8c47c36fd,7,5,6.0,curioso
2025-08-31,032a9f21-2dc3-4edd-a757-21d8ba63ce66,306,21,28.0,desencantado
2025-08-31,000ff655-fa9f-4baa-a108-47f581ec52a1,546,3,4.0,fiel
2025-08-31,017cc9ca-7856-4253-8fa8-13cb6cfadaa1,84,7,83.0,reborn
